node_id,node_type,specialization_label,label_definition
R_000032,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000033,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000034,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000035,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000036,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000037,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000038,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000039,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000040,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000041,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000042,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000043,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000044,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000045,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000046,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000047,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000048,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000049,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000050,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000051,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000052,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000053,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000054,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000055,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000056,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000057,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000058,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000059,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000060,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000061,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000062,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000063,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000064,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000065,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000066,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000067,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000068,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000069,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000070,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000071,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000072,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000073,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000074,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000075,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000076,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000077,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000078,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000079,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000080,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000081,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000082,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000083,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000084,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000085,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000086,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000087,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000088,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000089,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000090,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000091,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000092,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000093,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000094,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000095,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000096,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000097,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000098,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000099,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000100,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000101,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000102,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000103,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000104,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000105,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000106,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000107,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000108,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000109,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000110,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000111,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000112,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000113,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000114,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000115,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000116,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000117,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000118,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000119,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000120,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000121,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000122,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000123,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000124,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000125,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000126,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000127,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000128,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000129,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000130,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000131,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000132,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000133,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000134,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000135,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000136,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000137,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000138,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000139,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000140,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000141,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000142,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000143,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000144,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000145,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000146,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000147,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000148,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000149,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000150,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000151,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000152,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000153,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000154,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000155,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000156,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000157,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000158,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000159,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000160,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000161,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000162,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000163,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000164,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000165,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000166,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000167,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000168,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000169,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000170,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000171,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000172,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000173,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000174,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000175,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000176,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000177,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000178,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000179,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000180,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000181,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000182,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000183,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000184,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000185,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000186,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000187,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000188,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000189,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000190,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000191,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000192,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000193,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000194,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000195,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000196,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000197,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000198,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000199,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000200,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000201,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000202,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000203,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000204,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000205,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000206,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000207,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000208,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000209,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000210,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000211,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000212,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000213,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000214,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000215,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000216,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000217,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000218,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000219,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000220,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000221,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000222,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000223,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000224,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000225,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000226,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000227,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000228,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000229,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000230,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000231,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000232,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000233,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000234,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000235,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000236,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000237,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000238,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000239,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000240,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000241,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000242,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000243,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000244,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000245,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000246,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000247,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000248,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000249,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000250,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000251,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000252,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000253,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000254,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000255,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000256,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000257,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000258,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000259,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000260,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000261,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000262,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000263,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000264,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000265,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000266,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000267,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000268,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000269,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000270,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000271,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000272,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000273,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000274,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000275,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000276,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000277,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000278,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000279,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000280,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000281,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000282,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000283,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000284,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000285,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000286,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000287,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000288,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000289,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000290,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000291,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000292,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000293,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000294,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000295,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000296,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000297,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000298,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000299,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000300,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000301,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000302,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000303,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000304,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000305,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000306,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000307,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000308,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000309,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000310,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000311,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000312,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000313,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000314,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000315,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000316,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000317,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000318,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000319,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000320,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000321,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000322,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000323,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000324,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000325,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000326,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000327,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000328,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000329,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000330,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000331,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000332,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000333,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000334,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000335,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000336,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000337,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000338,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000339,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000340,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000341,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000342,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000343,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000344,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000345,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000346,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000347,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000348,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000349,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000350,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000351,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000352,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000353,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000354,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000355,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000356,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000357,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000358,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000359,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000360,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000361,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000362,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000363,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000364,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000365,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000366,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000367,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000368,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000369,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000370,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000371,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000372,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000373,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000374,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000375,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000376,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000377,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000378,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000379,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000380,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000381,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000382,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000383,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000384,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000385,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000386,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000387,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000388,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000389,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000390,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000391,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000392,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000393,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000394,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000395,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000396,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000397,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000398,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000399,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000400,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000401,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000402,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000403,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000404,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000405,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000406,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000407,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000408,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000409,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000410,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000411,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000412,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000413,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000414,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000415,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000416,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000417,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000418,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000419,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000420,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000421,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000422,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000423,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000424,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000425,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000426,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000427,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000428,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000429,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000430,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000431,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000432,CV,generalist,specialized if exactly one skill community; generalist if more than one
R_000433,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000434,CV,specialized,specialized if exactly one skill community; generalist if more than one
R_000435,CV,specialized,specialized if exactly one skill community; generalist if more than one
